time_s,qpos_J1_m,qpos_J2_m,qpos_J3_m,qpos_J4_rad,qpos_J5_rad,qpos_J6_rad,qvel_J1_ms,qvel_J2_ms,qvel_J3_ms,qvel_J4_rads,qvel_J5_rads,qvel_J6_rads,qacc_J1_ms2,qacc_J2_ms2,qacc_J3_ms2,qacc_J4_rads2,qacc_J5_rads2,qacc_J6_rads2
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016667,-9.9153633141e-11,-8.67168379995e-11,-2.4081785579e-11,1.98946191643e-11,1.68309042196e-10,-3.9360310413e-12,-2.37202667331e-08,-2.08365365761e-08,-5.7972231711e-09,4.68773525094e-09,4.04275711821e-08,-1.0900295667e-09,-4.25083163666e-06,-3.76170809109e-06,-1.04988549898e-06,8.18984019666e-07,7.29396522605e-06,-2.39472277443e-07
0.033333,-1.57518318179e-09,-1.40250774784e-09,-3.92513279525e-10,2.97795445467e-10,2.7175430389e-09,-1.01279250353e-10,-1.87947945614e-07,-1.68874753505e-07,-4.74505217053e-08,3.44820720439e-08,3.26897225927e-07,-1.43696995067e-08,-1.6763522173e-05,-1.52957234805e-05,-4.32693551765e-06,2.92366432974e-06,2.95552365118e-05,-1.61898224655e-06
0.050000,-7.90326228615e-09,-7.16841565626e-09,-2.0228645742e-09,1.40967483578e-09,1.38588409209e-08,-6.96700163354e-10,-6.26535093097e-07,-5.76363633732e-07,-1.63680079163e-07,1.06899647897e-07,1.11223322562e-06,-6.63569565733e-08,-3.70139636164e-05,-3.48791954211e-05,-1.00135055719e-05,5.85701003828e-06,6.70764890372e-05,-5.00720140719e-06
0.066667,-2.47102898547e-08,-2.28458369082e-08,-6.50396362143e-09,4.16466666995e-09,4.40479813552e-08,-2.75062781093e-09,-1.46282759346e-06,-1.37907985699e-06,-3.96147676142e-07,2.3262093238e-07,2.65111204736e-06,-1.96625139207e-07,-6.42700805537e-05,-6.26567959853e-05,-1.82794703719e-05,9.2569820539e-06,0.000119788497846,-1.10972558563e-05
0.083333,-5.95712215996e-08,-5.61767488971e-08,-1.61432173736e-08,9.5041379004e-09,1.07966341892e-07,-7.97215324483e-09,-2.80632177327e-06,-2.7140804952e-06,-7.8923969808e-07,4.17068225329e-07,5.19410709823e-06,-4.54769095195e-07,-9.76075513654e-05,-9.86367019118e-05,-2.92811920626e-05,1.28554160353e-05,0.000187271003084,-2.03948898496e-05
0.100000,-1.21751864211e-07,-1.17185931303e-07,-3.40101672213e-08,1.84268991365e-08,2.24404091257e-07,-1.89597829412e-08,-4.74959913927e-06,-4.71740142466e-06,-1.38983303584e-06,6.61956189742e-07,8.98193975924e-06,-8.97200395442e-07,-0.000135927372386,-0.000142688112092,-4.31605027141e-05,1.64758541251e-05,0.000268766531868,-3.32098307241e-05
0.116667,-2.21903022593e-07,-2.18144489255e-07,-6.39759951748e-08,3.193995074e-08,4.16049462511e-07,-3.92876355631e-08,-7.36556828873e-06,-7.5217271822e-06,-2.24704412762e-06,9.66797641821e-07,1.42399845151e-05,-1.58382514929e-06,-0.000177975057773,-0.000194540309566,-6.00437024515e-05,2.00303592474e-05,0.000363196982282,-4.96503577359e-05
0.133333,-3.71711346283e-07,-3.73494416916e-07,-1.10748701608e-07,5.10338775045e-08,7.09188724296e-07,-7.35355677886e-08,-1.07050395155e-05,-1.1254058042e-05,-3.41196141968e-06,1.3303479437e-06,2.11730725622e-05,-2.57465773715e-06,-0.000222361260234,-0.000253783265093,-8.00405753012e-05,2.35153527823e-05,0.000469182761375,-6.96210496494e-05
0.150000,-5.83512617057e-07,-5.99734369379e-07,-1.79903680344e-07,7.66817329594e-08,1.13332217893e-06,-1.27262600233e-07,-1.47946539964e-05,-1.60333999427e-05,-4.93736156369e-06,1.75197208213e-06,2.99606347118e-05,-3.92642312999e-06,-0.000267583591836,-0.000319869767635,-0.000103243425509,2.700652313e-05,0.000585064257043,-9.28236589794e-05
