frame,source_index,time_s,qpos_J1_m,qpos_J2_m,qpos_J3_m,qpos_J4_rad,qpos_J5_rad,qpos_J6_rad,qvel_J1_ms,qvel_J2_ms,qvel_J3_ms,qvel_J4_rads,qvel_J5_rads,qvel_J6_rads,qacc_J1_ms2,qacc_J2_ms2,qacc_J3_ms2,qacc_J4_rads2,qacc_J5_rads2,qacc_J6_rads2
0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.033333,-1.57518318179e-09,-1.40250774784e-09,-3.92513279525e-10,2.97795445467e-10,2.7175430389e-09,-1.01279250353e-10,-1.87947945614e-07,-1.68874753505e-07,-4.74505217053e-08,3.44820720439e-08,3.26897225927e-07,-1.43696995067e-08,-1.6763522173e-05,-1.52957234805e-05,-4.32693551765e-06,2.92366432974e-06,2.95552365118e-05,-1.61898224655e-06
2,4,0.066667,-2.47102898547e-08,-2.28458369082e-08,-6.50396362143e-09,4.16466666995e-09,4.40479813552e-08,-2.75062781093e-09,-1.46282759346e-06,-1.37907985699e-06,-3.96147676142e-07,2.3262093238e-07,2.65111204736e-06,-1.96625139207e-07,-6.42700805537e-05,-6.26567959853e-05,-1.82794703719e-05,9.2569820539e-06,0.000119788497846,-1.10972558563e-05
3,6,0.100000,-1.21751864211e-07,-1.17185931303e-07,-3.40101672213e-08,1.84268991365e-08,2.24404091257e-07,-1.89597829412e-08,-4.74959913927e-06,-4.71740142466e-06,-1.38983303584e-06,6.61956189742e-07,8.98193975924e-06,-8.97200395442e-07,-0.000135927372386,-0.000142688112092,-4.31605027141e-05,1.64758541251e-05,0.000268766531868,-3.32098307241e-05
4,8,0.133333,-3.71711346283e-07,-3.73494416916e-07,-1.10748701608e-07,5.10338775045e-08,7.09188724296e-07,-7.35355677886e-08,-1.07050395155e-05,-1.1254058042e-05,-3.41196141968e-06,1.3303479437e-06,2.11730725622e-05,-2.57465773715e-06,-0.000222361260234,-0.000253783265093,-8.00405753012e-05,2.35153527823e-05,0.000469182761375,-6.96210496494e-05
5,10,0.166667,-8.69873554072e-07,-9.15267236034e-07,-2.77909422571e-07,1.09859995533e-07,1.72070216636e-06,-2.06923885308e-07,-1.96351857201e-05,-2.19685025536e-05,-6.8774097202e-06,2.2329193631e-06,4.07522206397e-05,-5.68919937731e-06,-0.000312049419969,-0.000392119055608,-0.000129726137758,3.06528590161e-05,0.000708925413412,-0.000118761034802
6,12,0.200000,-1.7150174371e-06,-1.89617098853e-06,-5.90930687601e-07,2.02997500594e-07,3.52470639181e-06,-4.73466630423e-07,-3.14352929369e-05,-3.76766699445e-05,-1.22231473509e-05,3.39409172903e-06,6.87722678052e-05,-1.0595396763e-05,-0.000392031593254,-0.000551747171007,-0.000192729151136,3.93320407127e-05,0.00097179452415,-0.000175900994486
7,14,0.233333,-2.99503822909e-06,-3.49342881037e-06,-1.12006744478e-06,3.40344712276e-07,6.41244276757e-06,-9.36154405432e-07,-4.55543863095e-05,-5.89628562363e-05,-1.9897920654e-05,4.9028532061e-06,0.000105688439892,-1.74406032281e-05,-0.000448667652116,-0.000724778992162,-0.000269238512955,5.19349039345e-05,0.00123833794524,-0.000233415915617
8,16,0.266667,-4.7718134094e-06,-5.89905118102e-06,-1.95059939023e-06,5.36236295521e-07,1.06790322648e-05,-1.65816626631e-06,-6.09855178745e-05,-8.61192313081e-05,-3.03510222608e-05,6.93966810507e-06,0.000151264934878,-2.60750304282e-05,-0.000468414464072,-0.000901656699069,-0.000359093939159,7.15105501826e-05,0.00148677472483,-0.000281217152675
9,18,0.300000,-7.06617589846e-06,-9.3092130204e-06,-3.18265014937e-06,8.12814111137e-07,1.65992845624e-05,-2.69167664153e-06,-7.62818793686e-05,-0.000119095716971,-4.40202400322e-05,9.79374168385e-06,0.000204513390713,-3.59787947021e-05,-0.000438593151673,-0.00107150127704,-0.000461763078664,0.00010147043043,0.0016939733599,-0.000307332146716
10,20,0.333333,-9.84384733261e-06,-1.39121639534e-05,-4.93059205132e-06,1.20379989932e-06,2.44020035952e-05,-4.06457317762e-06,-8.95979941165e-05,-0.000157462608699,-6.13191080817e-05,1.38696980915e-05,0.000263664478876,-4.62104029957e-05,-0.000348119718429,-0.00122252573314,-0.000576322749543,0.000145260778255,0.00183645239805,-0.00029860408461
11,22,0.366667,-1.30031436171e-05,-1.98751311358e-05,-7.32201566864e-06,1.75830566692e-06,3.42439020935e-05,-5.76586265477e-06,-9.87543416803e-05,-0.000200387895405,-8.26236135217e-05,1.96830966822e-05,0.000326172837041,-5.53801793465e-05,-0.000188174095371,-0.00134249987342,-0.000701445267322,0.000206023511863,0.00189137166964,-0.000241480830858
12,24,0.400000,-1.63651965578e-05,-2.73307313701e-05,-1.04962489751e-05,2.54430482318e-06,4.61842273577e-05,-7.73064140944e-06,-0.000101322979572,-0.00024663074839,-0.00010825854583,2.78445949265e-05,0.000388754519309,-6.16510648998e-05,4.72146337683e-05,-0.00141925141155,-0.000835390880465,0.000286257207129,0.00183748400219,-0.000122859997439
13,26,0.433333,-1.96673422267e-05,-3.63634496331e-05,-1.46024177836e-05,3.65138718887e-06,6.01611566691e-05,-9.82556915329e-06,-9.47310363022e-05,-0.000294552121531,-0.000138483709812,3.9032954577e-05,0.000447455171903,-6.27680914894e-05,0.000360685840201,-0.00144118701668,-0.000976007332129,0.00038748975668,0.00165601953832,6.90444003237e-05
