id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
swiss-army-multipurpose-tool-1.snapshot.3,0.0286113339325754,0.0191213955206273,0.000810485926634151,-1.71874074621854E-06,0.000315164036815561,4.29515784168333E-06,4.46433207974412E-06,3.18418567257329E-06,1.78013748355601E-07,1.27590191179283E-06,1.4694110499112E-06,5.93016683251569E-06,4.21241282333147E-06,1.80109593815357E-06,-0.416019698830938,0.47166845466492,-0.859755267662622
component_name,mass,mass_density
titlteld_plane:1,0,NaN
Inner Holder 1:1,0.00479334059899145,8000
Knife:1,0.00157197742929647,8000
File + ScrewDriver:1,0.00216956907634308,8000
Keyring:1,8.34753688626718E-05,8000
ScrewDriver Big:1,0.00324475260896938,8000
Driver:1,4.03814655757214E-05,8000
Inner Holder 2:1,0.00430649426864993,8000
Top Cover 1:1,0.00145570235196927,1060
Top Cover 1:2,0.00145570235196927,1060
