id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
Assembly,0.0547250198759544,0.58535080961347,-0.00550317884884178,3.18805227242577E-08,-1.39138736234568E-08,0.000384842494849148,0.000288190057061801,0.000288190313794707,8.54956623141172E-11,1.72918217298841E-10,-8.0753469520308E-11,0.000384842494849291,0.000288189970071079,0.000288190400785286,0.466103557468588,-3.48827240190497E-07,-1.16572423074299E-06
component_name,mass,mass_density
RingGear:1,0.173410632266099,7730
Planet gear:1,0.0182532242075106,7850
Planet gear:2,0.0182532242075106,7850
Planet gear:3,0.0182532242075106,7850
Sun gear:1,0.00809200213334574,7850
TopCarrier:1,0.0220766302644323,7850
Pin:1,0.00575564938294781,7850
Pin:2,0.00575564938294781,7850
Pin:3,0.00575564938294781,7850
5X0.6 DIN Retainer:1,1.25927740798983E-05,1130
5X0.6 DIN Retainer:2,1.25927740798983E-05,1130
5X0.6 DIN Retainer:3,1.25927740798983E-05,1130
5X0.6 DIN Retainer:4,1.25927740798983E-05,1130
5X0.6 DIN Retainer:5,1.25927740798983E-05,1130
5X0.6 DIN Retainer:6,1.25927740798983E-05,1130
BottomCarrier:1,0.00687034792733501,7850
TopCover:1,0.131572221695395,7850
608 Bearing:1,0.0122204409693177,7850
BottomCover:1,0.117141313432576,7850
Broached Socket Head Cap Screw - Metric M5x0.8 x 45:1,0.00881075279377026,7850
Broached Socket Head Cap Screw - Metric M5x0.8 x 45:2,0.00881075279377026,7850
Broached Socket Head Cap Screw - Metric M5x0.8 x 45:3,0.00881075279377026,7850
Broached Socket Head Cap Screw - Metric M5x0.8 x 45:4,0.00881075279377026,7850
ANSI B18.2.4.2M M5x0.8:1,0.00165550808350838,7850
ANSI B18.2.4.2M M5x0.8:2,0.00165550808350838,7850
ANSI B18.2.4.2M M5x0.8:3,0.00165550808350838,7850
ANSI B18.2.4.2M M5x0.8:4,0.00165550808350838,7850
