id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
chair_pp_seat,0.442929991842927,5.5823912418394,-0.000498178595924482,-0.00143708847857365,0.000338420665216332,0.193871729752397,0.201150135655149,0.198695831200088,0.000206628028908452,0.000161959038097447,0.0309865558129648,0.16520343886871,0.201147621159565,0.22736663657936,0.0134689357864077,-0.746516979621594,-0.00798719835317595
component_name,mass,mass_density
Szek_Hatso_Lab_Bal2:1,0.469674413010847,760
Szek_Hatso:1,0.296434598307744,760
HatTamla3:1,0.27601417142889,760
Szek_Hatso_Lab_Jobb2:1,0.469679260456379,760
Szek_Oldal:1,0.231481833373541,760
Szek_Oldal:2,0.231481833373541,760
Szek_Elso_Lab:1,0.251195792821546,760
Szek_Elso_Lab:2,0.251195792821546,760
Szek_Eleje:1,0.399853938605884,760
Szek_Elso_Ek:1,0.0368300714846404,760
Szek_Elso_Ek:2,0.0368300714846404,760
Szek_Ules:1,2.6317194646702,899
