id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
Assembly,0.0547250198759544,0.542010447065217,-0.0054154745866838,3.44297603644348E-08,-1.50264579478056E-08,0.000372968508268252,0.000281676671078825,0.000281676927811695,8.71323368552514E-11,1.72918195430622E-10,-8.14677766195769E-11,0.000372968508268408,0.000281676584088102,0.000281677014802263,0.466103567125109,-3.67729743696843E-07,-1.25355880159435E-06
component_name,mass,mass_density
RingGear:1,0.173410632266099,7730
Planet gear:1,0.00380643669142609,1637
Planet gear:2,0.00380643669142609,1637
Planet gear:3,0.00380643669142609,1637
Sun gear:1,0.00809200213334574,7850
TopCarrier:1,0.0220766302644323,7850
Pin:1,0.00575564938294781,7850
Pin:2,0.00575564938294781,7850
Pin:3,0.00575564938294781,7850
5X0.6 DIN Retainer:1,1.25927740798983E-05,1130
5X0.6 DIN Retainer:2,1.25927740798983E-05,1130
5X0.6 DIN Retainer:3,1.25927740798983E-05,1130
5X0.6 DIN Retainer:4,1.25927740798983E-05,1130
5X0.6 DIN Retainer:5,1.25927740798983E-05,1130
5X0.6 DIN Retainer:6,1.25927740798983E-05,1130
BottomCarrier:1,0.00687034792733501,7850
TopCover:1,0.131572221695395,7850
608 Bearing:1,0.0122204409693177,7850
BottomCover:1,0.117141313432576,7850
Broached Socket Head Cap Screw - Metric M5x0.8 x 45:1,0.00881075279377026,7850
Broached Socket Head Cap Screw - Metric M5x0.8 x 45:2,0.00881075279377026,7850
Broached Socket Head Cap Screw - Metric M5x0.8 x 45:3,0.00881075279377026,7850
Broached Socket Head Cap Screw - Metric M5x0.8 x 45:4,0.00881075279377026,7850
ANSI B18.2.4.2M M5x0.8:1,0.00165550808350838,7850
ANSI B18.2.4.2M M5x0.8:2,0.00165550808350838,7850
ANSI B18.2.4.2M M5x0.8:3,0.00165550808350838,7850
ANSI B18.2.4.2M M5x0.8:4,0.00165550808350838,7850
